_key,_tei_file,study_id,author_name,year_of_publication,program_name,country,year_intervention_started,evaluation_design,intervention_description,exposure_to_intervention,length_of_follow_up,intervention_start_year,intervention_start_month,intervention_end_year,intervention_end_month,final_followup_year,final_followup_month,evaluation_design_code,evaluation_method,evaluation_method_code,sample_size_treatment,sample_size_control,outcome_name,outcome_description,effect_size,p_value,standard_error,confidence_interval_lower,confidence_interval_upper,literal_text,text_position,outcome_timepoint_label,outcome_measurement_year,outcome_measurement_month,months_since_intervention_end,timepoint_value,timepoint_unit,timepoint_origin,months_since_intervention_end_computed,timing_confidence,timing_evidence,outcome_timing_literal_text,outcome_timing_text_position,component_consumption_support,component_healthcare,component_assets,component_skills_training,component_savings,component_coaching,component_social_empowerment
A3SDHNSC.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/A3SDHNSC.tei.xml,,,,,,,,,,,,,,,,,,,,,,Natural and physical asset index,,,,,,,,,,,,,108.0,months,randomization,96.0,high,"Baseline survey in 2002, final follow-up in 2011 tracking original cohort",,,,,,,,,
A3SDHNSC.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/A3SDHNSC.tei.xml,,,,,,,,,,,,,,,,,,,,,,Female primary occupation (farm self-employment),,,,,,,,,,,,,108.0,months,randomization,96.0,high,"Baseline survey in 2002, final follow-up in 2011 tracking original cohort",,,,,,,,,
A3SDHNSC.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/A3SDHNSC.tei.xml,,,,,,,,,,,,,,,,,,,,,,Female primary occupation (day labor),,,,,,,,,,,,,108.0,months,randomization,96.0,high,"Baseline survey in 2002, final follow-up in 2011 tracking original cohort",,,,,,,,,
A3SDHNSC.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/A3SDHNSC.tei.xml,,,,,,,,,,,,,,,,,,,,,,Cash savings percentage,,,,,,,,,,,,,108.0,months,randomization,96.0,high,"Baseline survey in 2002, final follow-up in 2011 tracking original cohort",,,,,,,,,
A3SDHNSC.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/A3SDHNSC.tei.xml,,,,,,,,,,,,,,,,,,,,,,Outstanding loan percentage,,,,,,,,,,,,,108.0,months,randomization,96.0,high,"Baseline survey in 2002, final follow-up in 2011 tracking original cohort",,,,,,,,,
CG73D75P.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/CG73D75P.tei.xml,,,,Graduation of the Ultra Poor Pilot,Philippines,2018.0,Randomized Controlled Trial,Graduation approach with variations in livelihood asset transfer and coaching models (group vs individual),16,24,2018.0,10.0,2020.0,9.0,2021.0,12.0,1,Individual RCT,1,1753.0,586.0,Monthly consumption per capita,Monthly consumption per capita in pesos,326.5,,,,,311 to 342 pesos greater than the average among control-group households,"Executive summary, Table 10",Endline,2021.0,12.0,15,15.0,months,intervention_end,15.0,high,Endline survey conducted 15 months after intervention end,Endline survey conducted between September and December 2021,Executive summary,Yes,Not mentioned,Yes,Yes,Yes,Yes,Not mentioned
CG73D75P.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/CG73D75P.tei.xml,,,,Graduation of the Ultra Poor Pilot,Philippines,2018.0,Randomized Controlled Trial,Graduation approach with variations in livelihood asset transfer and coaching models (group vs individual),16,24,2018.0,10.0,2020.0,9.0,2021.0,12.0,1,Individual RCT,1,1753.0,586.0,Food security index,Food security index in standard deviations,0.24,,,,,0.20 (T1) to 0.28 (T3) standard deviations higher than control households,"Executive summary, Table 10",Endline,2021.0,12.0,15,15.0,months,intervention_end,15.0,high,Endline survey conducted 15 months after intervention end,Endline survey conducted between September and December 2021,Executive summary,Yes,Not mentioned,Yes,Yes,Yes,Yes,Not mentioned
CG73D75P.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/CG73D75P.tei.xml,,,,Graduation of the Ultra Poor Pilot,Philippines,2018.0,Randomized Controlled Trial,Graduation approach with variations in livelihood asset transfer and coaching models (group vs individual),16,24,2018.0,10.0,2020.0,9.0,2021.0,12.0,1,Individual RCT,1,1753.0,586.0,Productive asset value,Value of productive assets in pesos,3219.0,,,,,"1,954 to 4,484 pesos more than control households' average of 10,546 pesos","Executive summary, Table 10",Endline,2021.0,12.0,15,15.0,months,intervention_end,15.0,high,Endline survey conducted 15 months after intervention end,Endline survey conducted between September and December 2021,Executive summary,Yes,Not mentioned,Yes,Yes,Yes,Yes,Not mentioned
CG73D75P.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/CG73D75P.tei.xml,,,,Graduation of the Ultra Poor Pilot,Philippines,2018.0,Randomized Controlled Trial,Graduation approach with variations in livelihood asset transfer and coaching models (group vs individual),16,24,2018.0,10.0,2020.0,9.0,2021.0,12.0,1,Individual RCT,1,1753.0,586.0,Monthly household income,Monthly household income in pesos,,,,,,No statistically significant change in monthly income,"Executive summary, Table 10",Endline,2021.0,12.0,15,15.0,months,intervention_end,15.0,high,Endline survey conducted 15 months after intervention end,Endline survey conducted between September and December 2021,Executive summary,Yes,Not mentioned,Yes,Yes,Yes,Yes,Not mentioned
CG73D75P.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/CG73D75P.tei.xml,,,,Graduation of the Ultra Poor Pilot,Philippines,2018.0,Randomized Controlled Trial,Graduation approach with variations in livelihood asset transfer and coaching models (group vs individual),16,24,2018.0,10.0,2020.0,9.0,2021.0,12.0,1,Individual RCT,1,1753.0,586.0,Subjective well-being index,Subjective well-being index in standard deviations,0.105,,,,,0.08-0.13 standard deviations improvement for individual livelihood groups,"Executive summary, Table 10",Endline,2021.0,12.0,15,15.0,months,intervention_end,15.0,high,Endline survey conducted 15 months after intervention end,Endline survey conducted between September and December 2021,Executive summary,Yes,Not mentioned,Yes,Yes,Yes,Yes,Not mentioned
CG73D75P.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/CG73D75P.tei.xml,,,,Graduation of the Ultra Poor Pilot,Philippines,2018.0,Randomized Controlled Trial,Graduation approach with variations in livelihood asset transfer and coaching models (group vs individual),16,24,2018.0,10.0,2020.0,9.0,2021.0,12.0,1,Individual RCT,1,1753.0,586.0,Savings likelihood and amount,Percentage points more likely to have savings and additional savings amount,10.5,,,,,"6-15 percentage points more likely to have savings, 224-443 pesos more savings","Executive summary, Table 10",Endline,2021.0,12.0,15,15.0,months,intervention_end,15.0,high,Endline survey conducted 15 months after intervention end,Endline survey conducted between September and December 2021,Executive summary,Yes,Not mentioned,Yes,Yes,Yes,Yes,Not mentioned
Q8XK3EIW.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/Q8XK3EIW.tei.xml,,,,,,,,,,,,,,,,,,,,,,Per capita total consumption,,,,,,,,,,,,,12.0,months,intervention_end,12.0,high,Follow-up survey conducted 1 year after program completion and 2 years after asset transfer,,,,,,,,,
Q8XK3EIW.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/Q8XK3EIW.tei.xml,,,,,,,,,,,,,,,,,,,,,,Food security index,,,,,,,,,,,,,12.0,months,intervention_end,12.0,high,Follow-up survey conducted 1 year after program completion and 2 years after asset transfer,,,,,,,,,
RSAW8CHM.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/RSAW8CHM.tei.xml,,,,,,,,,,,,,,,,,,,,,,Gross daily consumption per adult equivalent,Total daily household consumption per adult equivalent in USD,,,,,,,,,,,,18.0,months,intervention_end,18.0,high,2nd follow-up survey explicitly measured at 18 months post-intervention,,,,,,,,,
