_key,study_id,outcome_group,outcome_category,location,literal_text,text_position
XIPIMS2M.tei,ZambiaLivelihoodStudy2024,Expenditure/Consumption,Total household consumption per adult equivalent (standard deviations),Table B1; Panel A and B; 12-month and 38-month impacts,"12 months: 0.24 (0.05), 38 months: 0.44 (0.08)","Table B1, Row 'Total consumption', Columns for Full Package at 12 and 38 months"
XIPIMS2M.tei,ZambiaLivelihoodStudy2024,Food Security,Food security index (standard deviations),Table B1; Panel A and B; 12-month and 38-month impacts,"12 months: 0.27 (0.07), 38 months: 0.23 (0.07)","Table B1, Row 'Food security', Columns for Full Package at 12 and 38 months"
XIPIMS2M.tei,ZambiaLivelihoodStudy2024,Assets,Asset wealth index (standard deviations),Table B1; Panel A and B; 12-month and 38-month impacts,"12 months: 0.27 (0.06), 38 months: 0.28 (0.07)","Table B1, Row 'Assets', Columns for Full Package at 12 and 38 months"
XIPIMS2M.tei,ZambiaLivelihoodStudy2024,Financial Inclusion,Savings index (standard deviations),Table B1; Panel A and B; 12-month and 38-month impacts,"12 months: 0.54 (0.07), 38 months: 0.35 (0.07)","Table B1, Row 'Savings', Columns for Full Package at 12 and 38 months"
XIPIMS2M.tei,ZambiaLivelihoodStudy2024,Income,Aggregate household income (standard deviations),Table B1; Panel A and B; 12-month and 38-month impacts,"12 months: 0.16 (0.07), 38 months: 0.27 (0.07)","Table B1, Row 'Aggregate income', Columns for Full Package at 12 and 38 months"
XIPIMS2M.tei,ZambiaLivelihoodStudy2024,Social Capital/Empowerment,Psychological well-being index (standard deviations),Table B1; Panel A and B; 12-month and 38-month impacts,"12 months: 0.25 (0.06), 38 months: 0.36 (0.07)","Table B1, Row 'Psyc. well-being', Columns for Full Package at 12 and 38 months"
XIPIMS2M.tei,ZambiaLivelihoodStudy2024,Poverty,Extreme poverty (below 336.73 ZMW/month),Table 3; Poverty impacts,Full Package: -7.1 percentage points (p<0.01),"Table 3, Row 'Extreme poverty', Column for Full Package"
XIPIMS2M.tei,ZambiaLivelihoodStudy2024,Poverty,Moderate poverty (below 517.6 ZMW/month),Table 3; Poverty impacts,Full Package: -12.4 percentage points (p<0.01),"Table 3, Row 'Moderate poverty', Column for Full Package"
XIPIMS2M.tei,ZambiaLivelihoodStudy2024,Work/Employment,Paid work for others (minutes per day),Table B13; Time use impacts,Full Package: -13.65 (3.36) minutes per day,"Table B13, Row 'Paid work for others', Column for Full Package"
XIPIMS2M.tei,ZambiaLivelihoodStudy2024,Work/Employment,Farming and fishing time (minutes per day),Table B13; Time use impacts,Full Package: +40.94 (13.28) minutes per day,"Table B13, Row 'Farming and fishing', Column for Full Package"
